TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201807050900,136.0,11.0,1.6,987.7,1003.6,22.2,21.3,95.0,25.3,01,10.0,8.0,ScAs,2000.0,23.5,1.0,6.0
201807051000,136.0,11.0,2.2,987.9,1003.7,22.9,21.3,91.0,25.3,01,10.0,8.0,ScAs,2000.0,25.2,4.0,1.0
201807051100,136.0,11.0,1.9,988.1,1003.9,23.0,21.4,91.0,25.5,-,10.0,8.0,ScAs,1994.0,25.3,3.0,1.0
201807051200,136.0,9.0,2.0,988.1,1003.9,23.6,20.9,85.0,24.7,-,10.0,8.0,ScAs,2000.0,26.3,3.0,5.0
201807051300,136.0,11.0,1.6,988.1,1003.8,24.0,21.1,84.0,25.0,-,10.0,8.0,ScAs,2000.0,26.7,3.0,11.0
201807051400,136.0,9.0,1.7,987.8,1003.6,24.9,21.6,82.0,25.8,-,10.0,6.0,ScAs,2000.0,27.8,3.0,3.0
201807051500,136.0,14.0,2.1,987.2,1002.9,26.3,21.2,74.0,25.2,-,8.0,5.0,ScAc,2000.0,33.6,3.0,3.0
201807051600,136.0,9.0,2.0,987.4,1003.2,25.4,21.0,77.0,24.9,-,10.0,7.0,ScAs,2000.0,28.7,3.0,3.0
201807051700,136.0,11.0,3.3,987.7,1003.5,25.0,20.6,77.0,24.3,-,10.0,9.0,ScAs,2000.0,27.3,3.0,2.0
201807051800,136.0,11.0,4.1,988.0,1003.7,24.6,20.5,78.0,24.1,-,10.0,7.0,ScAs,2000.0,26.3,3.0,9.0
201807052100,136.0,11.0,2.8,990.5,1006.4,22.8,19.1,80.0,22.1,-,10.0,8.0,ScAs,2000.0,22.5,3.0,0.0
201807060000,136.0,14.0,1.8,991.2,1007.2,22.0,18.5,81.0,21.3,-,10.0,5.0,ScAs,2000.0,21.0,3.0,0.0
201807060300,136.0,11.0,1.4,991.2,1007.2,21.5,19.4,88.0,22.5,-,10.0,4.0,ScAs,2000.0,21.0,3.0,5.0
201807060400,136.0,11.0,1.1,991.2,1007.2,21.7,18.8,84.0,21.7,-,9.0,7.0,ScAc,2000.0,20.9,3.0,5.0
201807060500,136.0,11.0,1.3,991.3,1007.3,21.6,18.9,85.0,21.8,-,9.0,7.0,ScAc,2000.0,20.7,3.0,4.0
201807060600,136.0,14.0,1.2,991.5,1007.5,21.5,19.2,87.0,22.2,-,9.0,7.0,ScAc,2000.0,21.0,3.0,4.0
201807060700,136.0,11.0,2.4,991.7,1007.6,22.5,18.0,76.0,20.6,-,8.0,4.0,ScAc,2000.0,22.4,3.0,4.0
201807060800,136.0,11.0,2.2,992.5,1008.4,23.0,17.6,72.0,20.1,-,9.0,9.0,Sc,2000.0,24.0,3.0,1.0
201807060900,136.0,11.0,4.9,992.3,1008.2,23.2,16.9,68.0,19.2,-,8.0,1.0,ScAc,2000.0,26.6,3.0,5.0
201807061000,136.0,11.0,3.7,992.4,1008.2,23.9,16.6,64.0,18.9,-,9.0,4.0,ScAc,2000.0,27.9,3.0,0.0
201807061100,136.0,11.0,2.8,992.6,1008.4,24.1,16.8,64.0,19.1,-,9.0,3.0,ScAc,2000.0,28.4,3.0,0.0
201807061200,136.0,11.0,4.8,992.5,1008.4,24.8,16.7,61.0,19.0,-,9.0,3.0,ScAc,2000.0,32.8,3.0,0.0
201807061300,136.0,11.0,3.1,992.0,1007.8,24.3,16.7,63.0,19.0,-,10.0,7.0,ScAs,2000.0,28.6,3.0,1.0
201807061400,136.0,9.0,2.5,991.9,1007.7,23.6,16.8,66.0,19.1,-,10.0,8.0,ScAs,2000.0,26.6,3.0,5.0
201807061500,136.0,11.0,3.1,991.6,1007.5,23.2,16.4,66.0,18.6,-,10.0,6.0,ScAs,2000.0,26.2,3.0,0.0
201807061600,136.0,11.0,3.8,991.7,1007.6,22.8,16.1,66.0,18.3,-,10.0,7.0,ScAs,2000.0,26.1,3.0,5.0
201807061700,136.0,11.0,3.6,992.0,1007.9,22.6,16.1,67.0,18.3,-,10.0,8.0,ScAs,2000.0,25.5,3.0,3.0
201807061800,136.0,14.0,3.7,992.7,1008.6,22.5,15.5,65.0,17.6,-,10.0,8.0,ScAs,2000.0,25.4,3.0,6.0
201807062100,136.0,11.0,1.9,994.2,1010.4,20.3,14.8,71.0,16.8,-,10.0,3.0,ScAs,2000.0,20.1,3.0,2.0
201807070000,136.0,14.0,2.0,994.4,1010.5,19.0,14.4,75.0,16.4,-,7.0,7.0,Ac,2000.0,18.4,3.0,6.0
