TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202203231600,136.0,29.0,4.2,999.7,1016.8,8.8,-1.6,48.0,5.4,-,9.0,9.0,Sc,1140.0,11.7,-99.0,-99.0,-99.0,-99.0,3.0,41.0
202203231700,136.0,27.0,3.9,999.5,1016.6,8.4,-1.9,48.0,5.3,-,7.0,7.0,Sc,1278.0,9.8,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202203231800,136.0,27.0,2.8,999.5,1016.7,7.8,-2.2,49.0,5.2,-,7.0,7.0,Sc,1053.0,7.2,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202203231900,136.0,29.0,2.0,999.7,1017.0,6.4,-2.2,54.0,5.2,-,0.0,0.0,-,1033.0,4.0,-99.0,-99.0,-99.0,-99.0,3.0,38.0
202203232000,136.0,32.0,1.3,1000.3,1017.7,5.6,-2.5,56.0,5.1,40,6.0,1.0,-,1006.0,2.9,-99.0,-99.0,-99.0,-99.0,3.0,38.0
202203232100,136.0,32.0,1.9,1000.6,1018.0,4.7,-2.8,58.0,5.0,-,0.0,0.0,-,1098.0,1.8,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202203232200,136.0,32.0,1.5,1000.9,1018.4,3.8,-1.9,66.0,5.3,40,0.0,0.0,-,942.0,1.0,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202203232300,136.0,32.0,0.9,1001.7,1019.3,2.1,-3.4,67.0,4.8,40,0.0,0.0,-,965.0,0.3,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202203240000,136.0,0.0,0.1,1001.6,1019.2,2.5,-2.8,68.0,5.0,40,0.0,0.0,-,934.0,-0.3,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202203240100,136.0,11.0,0.8,1001.7,1019.3,2.0,-2.9,70.0,4.9,40,0.0,0.0,-,855.0,-0.2,-99.0,-99.0,-99.0,-99.0,3.0,36.0
