TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202202200200,143.0,32.0,5.6,1015.4,1022.4,-2.5,-11.5,50.0,2.5,-,6.0,3.0,-,1955.0,-2.3,-99.0,-99.0,-99.0,-99.0,3.0,23.0
202202200300,143.0,29.0,7.4,1015.5,1022.5,-3.5,-13.2,47.0,2.2,-,1.0,1.0,Sc,2000.0,-3.5,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202202200400,143.0,32.0,4.7,1015.1,1022.1,-4.3,-12.4,53.0,2.4,-,1.0,1.0,Sc,2000.0,-3.9,-99.0,-99.0,-99.0,-99.0,3.0,10.0
202202200500,143.0,32.0,4.4,1015.5,1022.5,-4.8,-11.3,60.0,2.6,-,6.0,6.0,Sc,2000.0,-3.6,-99.0,-99.0,-99.0,-99.0,3.0,16.0
202202200600,143.0,29.0,5.6,1015.8,1022.8,-5.1,-11.4,61.0,2.6,-,3.0,3.0,Sc,2000.0,-3.9,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202200700,143.0,29.0,4.2,1016.2,1023.2,-5.2,-11.9,59.0,2.5,-,2.0,2.0,Sc,2001.0,-4.4,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202202200800,143.0,29.0,3.4,1017.0,1024.0,-5.0,-11.5,60.0,2.5,05,7.0,7.0,Sc,1892.0,-2.6,-99.0,-99.0,-99.0,-99.0,4.0,16.0
202202200900,143.0,29.0,4.6,1017.8,1024.8,-4.1,-13.5,48.0,2.2,05,3.0,3.0,Sc,1973.0,-1.4,-99.0,-99.0,-99.0,-99.0,1.0,19.0
202202201000,143.0,32.0,4.1,1018.2,1025.2,-2.8,-16.8,33.0,1.6,-,1.0,1.0,Sc,1856.0,3.4,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202202201100,143.0,34.0,5.0,1018.5,1025.5,-2.4,-18.0,29.0,1.5,-,0.0,0.0,-,2000.0,7.2,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202202201200,143.0,32.0,5.6,1018.3,1025.2,-0.8,-18.4,25.0,1.4,-,0.0,0.0,-,1987.0,10.9,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202202201300,143.0,34.0,5.2,1017.4,1024.3,0.2,-18.5,23.0,1.4,-,0.0,0.0,-,1994.0,13.0,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202202201400,143.0,29.0,6.0,1016.6,1023.5,0.8,-18.0,23.0,1.5,-,0.0,0.0,-,2000.0,14.8,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202202201500,143.0,29.0,6.2,1016.4,1023.3,1.2,-19.9,19.0,1.3,-,0.0,0.0,-,2000.0,13.5,-99.0,-99.0,-99.0,-99.0,3.0,31.0
202202201600,143.0,32.0,5.2,1017.3,1024.2,1.5,-20.9,17.0,1.2,-,0.0,0.0,-,1863.0,10.6,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202202201700,143.0,32.0,3.5,1017.2,1024.1,1.1,-21.3,17.0,1.1,-,0.0,0.0,-,2000.0,5.8,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202202201800,143.0,29.0,5.8,1018.0,1024.9,0.1,-20.8,19.0,1.2,-,0.0,0.0,-,2000.0,0.7,-99.0,-99.0,-99.0,-99.0,3.0,31.0
202202201900,143.0,32.0,2.3,1018.7,1025.6,-0.8,-20.4,21.0,1.2,-,0.0,0.0,-,2000.0,-1.6,-99.0,-99.0,-99.0,-99.0,3.0,14.0
202202202000,143.0,34.0,2.0,1019.3,1026.3,-1.5,-19.5,24.0,1.3,-,0.0,0.0,-,2000.0,-2.7,-99.0,-99.0,-99.0,-99.0,3.0,6.0
202202202100,143.0,32.0,2.7,1019.5,1026.5,-2.0,-17.7,29.0,1.5,-,0.0,0.0,-,2000.0,-3.4,-99.0,-99.0,-99.0,-99.0,3.0,11.0
202202202200,143.0,32.0,3.1,1020.4,1027.4,-2.3,-17.1,31.0,1.6,-,0.0,0.0,-,1949.0,-3.7,-99.0,-99.0,-99.0,-99.0,3.0,5.0
202202202300,143.0,32.0,2.8,1020.8,1027.8,-3.0,-16.0,36.0,1.8,-,0.0,0.0,-,2000.0,-4.0,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202202210000,143.0,29.0,4.6,1021.0,1028.0,-3.1,-14.5,41.0,2.0,-,0.0,0.0,-,2017.0,-3.9,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202202210100,143.0,29.0,3.4,1021.4,1028.4,-3.5,-13.2,47.0,2.2,-,0.0,0.0,-,2000.0,-4.2,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202202210200,143.0,29.0,2.8,1021.3,1028.3,-3.6,-12.2,51.0,2.4,-,0.0,0.0,-,2000.0,-4.5,-99.0,-99.0,-99.0,-99.0,3.0,16.0
202202210300,143.0,29.0,2.4,1021.1,1028.1,-3.6,-11.8,53.0,2.5,-,0.0,0.0,-,2000.0,-4.8,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202210400,143.0,29.0,2.7,1021.1,1028.1,-3.7,-11.4,55.0,2.6,-,0.0,0.0,-,2000.0,-4.9,-99.0,-99.0,-99.0,-99.0,3.0,14.0
202202210500,143.0,29.0,3.2,1021.4,1028.4,-3.6,-10.6,58.0,2.7,-,0.0,0.0,-,2000.0,-4.8,-99.0,-99.0,-99.0,-99.0,3.0,11.0
202202210600,143.0,29.0,3.7,1021.9,1028.9,-3.8,-9.8,63.0,2.9,-,0.0,0.0,-,2000.0,-4.8,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202210700,143.0,5.0,1.0,1022.2,1029.3,-4.7,-9.9,67.0,2.9,-,0.0,0.0,-,2000.0,-5.6,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202202210800,143.0,0.0,0.4,1023.1,1030.1,-3.4,-9.4,63.0,3.0,-,0.0,0.0,-,1979.0,-4.6,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202202210900,143.0,29.0,1.1,1023.9,1030.9,-1.5,-8.9,57.0,3.1,-,0.0,0.0,-,1998.0,-1.9,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202202211000,143.0,29.0,2.6,1023.6,1030.6,-0.5,-8.9,53.0,3.1,-,1.0,1.0,Sc,1989.0,5.1,-99.0,-99.0,-99.0,-99.0,3.0,32.0
202202211100,143.0,32.0,2.3,1023.0,1029.9,1.2,-8.8,47.0,3.1,-,0.0,0.0,-,1944.0,10.2,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202202211200,143.0,29.0,2.4,1022.2,1029.0,3.4,-9.2,39.0,3.0,-,0.0,0.0,-,1936.0,15.6,-99.0,-99.0,-99.0,-99.0,3.0,21.0
