TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201805112000,143,25,1.6,-9,-9.0,-9,1008.7,1014.9,-9,-9.0,22.3,4.7,32.0,8.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,8,55,-,-9,-9,-9,1955,0.0,0.0,-9,21.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805112100,143,27,2.4,-9,-9.0,-9,1009.3,1015.5,2,1.9,21.6,4.1,32.0,8.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,0,-9,Ci,2,0,0,1909,-9.0,-9.0,-9,20.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805112200,143,29,2.4,-9,-9.0,-9,1009.5,1015.7,-9,-9.0,20.9,4.4,34.0,8.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,9,55,-,-9,-9,-9,2000,-9.0,-9.0,-9,19.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805112300,143,11,1.2,-9,-9.0,-9,1009.5,1015.7,-9,-9.0,19.2,6.3,43.0,9.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,9,50,-,-9,-9,-9,1955,-9.0,-9.0,-9,18.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805120000,143,16,1.1,-9,-9.0,-9,1009.5,1015.7,1,0.2,18.6,6.4,45.0,9.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,0,-9,Ci,2,0,0,2000,-9.0,-9.0,-9,18.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120100,143,5,1.1,-9,-9.0,-9,1009.4,1015.7,-9,-9.0,18.0,7.4,50.0,10.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,9,48,-,-9,-9,-9,2000,-9.0,-9.0,-9,17.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805120200,143,36,0.6,-9,-9.0,-9,1008.7,1015.0,-9,-9.0,17.2,6.9,51.0,9.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,9,47,-,-9,-9,-9,1958,-9.0,-9.0,-9,17.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805120300,143,34,1.8,-9,-9.0,-9,1008.7,1015.0,6,-0.7,17.0,7.3,53.0,10.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,2,10,ScAs,-9,2,5,2000,-9.0,-9.0,-9,16.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120400,143,36,0.5,-9,-9.0,-9,1008.0,1014.3,-9,-9.0,16.7,7.6,55.0,10.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,3,10,ScAs,-9,2,5,1955,-9.0,-9.0,-9,16.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120500,143,7,0.7,-9,-9.0,-9,1007.5,1013.8,-9,-9.0,15.9,8.8,63.0,11.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,4,15,ScAs,-9,2,5,1955,-9.0,-9.0,-9,15.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120600,143,11,0.8,-9,-9.0,-9,1007.3,1013.6,7,-1.4,15.7,8.6,63.0,11.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,3,10,ScAs,-9,2,5,1954,0.0,0.0,-9,16.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120700,143,18,0.5,-9,-9.0,-9,1007.6,1013.9,-9,-9.0,16.5,8.6,60.0,11.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,5,10,ScAs,-9,2,5,2000,0.0,0.07,-9,17.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
