TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
202111112000,146.0,25.0,3.1,1006.6,1014.0,7.7,2.3,69.0,7.2,01,0.0,6.0,StNs,2000.0,9.7,4.0,24.0
202111112100,146.0,20.0,1.2,1006.5,1013.9,6.7,3.3,79.0,7.7,01,0.0,5.0,ScAs,2000.0,9.6,1.0,20.0
202111112200,146.0,20.0,2.1,1006.6,1014.0,6.9,3.1,77.0,7.6,01,0.0,7.0,ScAs,2000.0,9.4,4.0,6.0
202111112300,146.0,27.0,3.2,1007.7,1015.1,6.6,3.3,80.0,7.7,01,0.0,8.0,StNs,1352.0,9.4,4.0,8.0
202111120000,146.0,23.0,1.1,1007.6,1015.1,5.6,3.1,84.0,7.6,01,0.0,6.0,StNs,2000.0,9.2,4.0,14.0
202111120100,146.0,0.0,0.3,1007.7,1015.2,5.0,3.0,87.0,7.6,01,0.0,4.0,ScAs,2000.0,8.7,4.0,14.0
202111120200,146.0,0.0,0.1,1008.4,1015.9,4.9,3.5,91.0,7.8,01,0.0,4.0,StNs,1922.0,8.7,4.0,16.0
202111120300,146.0,25.0,0.6,1009.2,1016.7,5.0,3.8,92.0,8.0,01,0.0,9.0,StNs,1214.0,9.0,4.0,10.0
202111120400,146.0,23.0,0.9,1009.5,1017.0,4.7,3.0,89.0,7.6,01,0.0,9.0,ScAs,2000.0,8.8,4.0,8.0
202111120500,146.0,27.0,0.5,1010.0,1017.5,4.2,2.5,89.0,7.3,01,0.0,4.0,ScAs,2000.0,8.4,4.0,7.0
202111120600,146.0,27.0,1.1,1010.3,1017.8,4.4,2.8,90.0,7.5,-,8.0,8.0,Sc,1911.0,8.2,3.0,10.0
202111120700,146.0,29.0,1.0,1011.0,1018.5,4.1,2.6,90.0,7.4,-,7.0,7.0,Sc,1722.0,8.2,3.0,19.0
202111120800,146.0,16.0,0.5,1011.4,1018.9,5.4,2.2,80.0,7.2,-,1.0,1.0,Sc,2000.0,8.0,3.0,16.0
202111120900,146.0,18.0,0.9,1011.5,1019.0,6.5,2.7,77.0,7.4,-,0.0,0.0,-,2000.0,8.7,3.0,2.0
202111121000,146.0,23.0,1.8,1011.9,1019.3,6.7,2.5,75.0,7.3,01,0.0,6.0,ScAs,2000.0,10.1,4.0,6.0
202111121100,146.0,25.0,1.6,1011.6,1019.0,6.7,1.6,70.0,6.9,01,8.0,8.0,Sc,2000.0,11.2,4.0,9.0
202111121200,146.0,11.0,0.6,1010.7,1018.1,7.4,2.2,70.0,7.2,-,9.0,9.0,Sc,2000.0,12.2,4.0,0.0
