TM,STN_ID,PM10
202101140500,136.0,117.0
202101140600,136.0,117.0
202101140700,136.0,123.0
202101140800,136.0,114.0
202101140900,136.0,119.0
202101141000,136.0,108.0
202101141100,136.0,98.0
202101141200,136.0,91.0
202101141300,136.0,72.0
202101141400,136.0,51.0
202101141500,136.0,59.0
202101141600,136.0,66.0
202101141700,136.0,67.0
202101141800,136.0,54.0
202101141900,136.0,83.0
202101142000,136.0,87.0
202101142100,136.0,80.0
202101142200,136.0,56.0
202101142300,136.0,63.0
202101150000,136.0,65.0
202101150100,136.0,69.0
202101150200,136.0,53.0
202101150300,136.0,68.0
202101150400,136.0,50.0
202101150500,136.0,57.0
202101150600,136.0,52.0
202101150700,136.0,52.0
202101150800,136.0,48.0
202101150900,136.0,59.0
202101151000,136.0,70.0
202101151100,136.0,60.0
202101151200,136.0,56.0
202101151300,136.0,62.0
202101151400,136.0,54.0
202101151500,136.0,66.0
202101151600,136.0,59.0
202101151700,136.0,54.0
202101151800,136.0,66.0
202101151900,136.0,56.0
202101152000,136.0,49.0
202101152100,136.0,66.0
202101152200,136.0,117.0
202101152300,136.0,134.0
202101160000,136.0,183.0
202101160100,136.0,174.0
202101160200,136.0,144.0
202101160300,136.0,108.0
202101160400,136.0,97.0
202101160500,136.0,105.0
202101160600,136.0,99.0
202101160700,136.0,101.0
202101160800,136.0,159.0
202101160900,136.0,179.0
202101161000,136.0,147.0
202101161100,136.0,125.0
202101161200,136.0,122.0
202101161300,136.0,99.0
202101161400,136.0,74.0
202101161500,136.0,73.0
202101161600,136.0,61.0
202101161700,136.0,57.0
202101161800,136.0,55.0
202101161900,136.0,51.0
202101162000,136.0,45.0
202101162100,136.0,31.0
202101162200,136.0,21.0
202101162300,136.0,21.0
202101170000,136.0,27.0
202101170100,136.0,21.0
202101170200,136.0,24.0
202101170300,136.0,23.0
202101170400,136.0,18.0
202101170500,136.0,9.0
202101170600,136.0,7.0
202101170700,136.0,8.0
202101170800,136.0,14.0
202101170900,136.0,0.0
202101171000,136.0,11.0
202101171100,136.0,10.0
202101171200,136.0,13.0
202101171300,136.0,13.0
202101171400,136.0,9.0
202101171500,136.0,18.0
202101171600,136.0,17.0
202101171700,136.0,17.0
202101171800,136.0,18.0
202101171900,136.0,21.0
202101172000,136.0,33.0
202101172100,136.0,33.0
202101172200,136.0,22.0
202101172300,136.0,28.0
202101180000,136.0,19.0
202101180100,136.0,51.0
202101180200,136.0,29.0
202101180300,136.0,23.0
202101180400,136.0,19.0
202101180500,136.0,17.0
202101180600,136.0,18.0
202101180700,136.0,26.0
202101180800,136.0,23.0
202101180900,136.0,23.0
202101181000,136.0,24.0
202101181100,136.0,31.0
202101181200,136.0,46.0
202101181300,136.0,37.0
202101181400,136.0,39.0
202101181500,136.0,35.0
202101181600,136.0,49.0
202101181700,136.0,47.0
202101181800,136.0,30.0
202101181900,136.0,33.0
202101182000,136.0,23.0
202101182100,136.0,28.0
202101182200,136.0,37.0
202101182300,136.0,21.0
202101190000,136.0,15.0
202101190100,136.0,31.0
202101190200,136.0,19.0
202101190300,136.0,22.0
202101190400,136.0,27.0
202101190500,136.0,33.0
202101190600,136.0,26.0
202101190700,136.0,31.0
202101190800,136.0,22.0
202101190900,136.0,32.0
202101191000,136.0,42.0
202101191100,136.0,23.0
202101191200,136.0,25.0
202101191300,136.0,27.0
202101191400,136.0,18.0
202101191500,136.0,20.0
202101191600,136.0,15.0
202101191700,136.0,8.0
202101191800,136.0,25.0
202101191900,136.0,35.0
202101192000,136.0,50.0
202101192100,136.0,46.0
202101192200,136.0,27.0
202101192300,136.0,28.0
