TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
201801041200,54218.0,1.0,3.0,2.0,74.0,320.0,2.0,-9.6,-24.3,29.1,1034.7,7.0,0.4,0.0,cma,7.0
201801041300,54218.0,1.0,3.0,2.0,74.0,320.0,2.0,-9.6,-24.3,29.1,1034.7,7.0,0.4,0.0,cma,7.0
201801041400,54218.0,1.0,3.0,2.0,74.0,320.0,2.0,-9.6,-24.3,29.1,1034.7,7.0,0.4,0.0,cma,7.0
201801041500,54218.0,1.0,3.0,2.0,77.0,220.0,1.0,-12.7,-23.8,39.0,1032.6,7.0,1.2,0.0,cma,14.0
201801041600,54218.0,1.0,3.0,2.0,77.0,220.0,1.0,-12.7,-23.8,39.0,1032.6,7.0,1.2,0.0,cma,14.0
201801041700,54218.0,1.0,3.0,2.0,77.0,220.0,1.0,-12.7,-23.8,39.0,1032.6,7.0,1.2,0.0,cma,14.0
201801041800,54218.0,1.0,3.0,2.0,73.0,220.0,2.0,-13.6,-23.8,41.9,1030.9,7.0,1.1,0.0,cma,70.0
201801041900,54218.0,1.0,3.0,2.0,73.0,220.0,2.0,-13.6,-23.8,41.9,1030.9,7.0,1.1,0.0,cma,70.0
201801042000,54218.0,1.0,3.0,2.0,73.0,220.0,2.0,-13.6,-23.8,41.9,1030.9,7.0,1.1,0.0,cma,70.0
201801042100,54218.0,1.0,3.0,2.0,71.0,200.0,1.0,-15.2,-24.2,46.1,1029.9,7.0,1.5,0.0,cma,57.0
201801042200,54218.0,1.0,3.0,2.0,71.0,200.0,1.0,-15.2,-24.2,46.1,1029.9,7.0,1.5,0.0,cma,57.0
201801042300,54218.0,1.0,3.0,2.0,71.0,200.0,1.0,-15.2,-24.2,46.1,1029.9,7.0,1.5,0.0,cma,57.0
201801050000,54218.0,1.0,3.0,2.0,60.0,290.0,1.0,-15.8,-24.5,47.2,1030.4,7.0,0.1,0.0,cma,40.0
201801050100,54218.0,1.0,3.0,2.0,60.0,290.0,1.0,-15.8,-24.5,47.2,1030.4,7.0,0.1,0.0,cma,40.0
201801050200,54218.0,1.0,3.0,2.0,60.0,290.0,1.0,-15.8,-24.5,47.2,1030.4,7.0,0.1,0.0,cma,40.0
201801050300,54218.0,1.0,3.0,2.0,68.0,40.0,1.0,-6.6,-23.4,25.0,1029.4,2.0,0.1,0.0,cma,19.0
201801050400,54218.0,1.0,3.0,2.0,68.0,40.0,1.0,-6.6,-23.4,25.0,1029.4,2.0,0.1,0.0,cma,19.0
201801050500,54218.0,1.0,3.0,2.0,68.0,40.0,1.0,-6.6,-23.4,25.0,1029.4,2.0,0.1,0.0,cma,19.0
201801050600,54218.0,1.0,3.0,2.0,80.0,360.0,2.0,-1.6,-22.8,18.1,1026.5,7.0,2.1,0.0,cma,27.0
201801050700,54218.0,1.0,3.0,2.0,80.0,360.0,2.0,-1.6,-22.8,18.1,1026.5,7.0,2.1,0.0,cma,27.0
