TM,PM10_yanan,PM10_qingdao,PM10_chifeng,PM10_dalian
201801171500,63.0,138.6,24.0,91.0
201801171800,62.0,132.8,24.0,99.0
201801172100,78.0,127.0,32.0,100.0
201801180000,52.0,91.0,32.0,124.0
201801180300,107.0,77.0,28.0,126.0
201801180600,60.0,55.0,21.0,106.0
201801180900,110.0,48.0,22.0,102.0
201801181200,89.0,36.0,24.0,114.0
201801181500,23.0,39.0,27.0,44.0
201801181800,37.0,41.0,52.0,51.0
201801182100,35.0,47.0,39.0,31.0
201801190000,147.0,57.0,48.0,62.0
201801190300,80.5,89.0,43.0,55.0
201801190600,14.0,82.0,32.0,97.0
201801190900,120.0,91.0,47.0,75.0
201801191200,82.0,101.0,30.0,182.0
201801191500,76.0,117.0,28.0,233.0
201801191800,39.0,138.0,30.0,257.0
201801192100,46.0,172.0,23.0,228.0
201801200000,78.0,94.0,80.0,161.0
201801200300,61.0,84.0,43.0,84.0
201801200600,44.0,95.0,52.0,177.0
201801200900,39.0,91.0,69.0,136.0
201801201200,53.0,104.0,62.0,83.0
201801201500,20.0,89.0,49.0,78.0
201801201800,29.0,100.0,37.0,46.0
201801202100,50.0,106.0,100.0,70.0
201801210000,61.0,128.0,10.0,51.0
201801210300,62.0,105.0,8.0,33.0
201801210600,63.0,79.0,23.0,13.0
201801210900,76.0,70.0,18.0,18.0
201801211200,80.0,62.0,157.0,25.0
201801211500,77.0,60.0,23.0,26.0
201801211800,108.0,128.0,23.0,16.0
201801212100,120.0,59.0,26.0,19.0
201801220000,81.0,26.0,18.0,28.0
201801220300,103.0,20.0,42.0,76.0
201801220600,87.0,19.0,29.0,47.0
201801220900,117.0,18.0,42.0,59.0
201801221200,44.0,15.0,85.0,50.0
201801221500,4.0,10.0,24.0,68.0
201801221800,12.0,21.0,80.0,36.0
201801222100,19.0,21.0,33.0,30.0
201801230000,27.0,20.0,14.0,17.0
201801230300,47.0,14.0,11.0,18.0
201801230600,42.0,12.0,41.0,33.0
201801230900,25.0,8.0,19.0,41.0
201801231200,33.0,9.0,23.0,32.0
201801231500,80.0,10.0,24.0,18.0
201801231800,37.0,24.0,17.0,21.0
201801232100,54.0,30.0,10.0,45.0
201801240000,7.0,21.0,9.0,18.0
201801240300,23.0,25.0,14.0,39.0
201801240600,43.0,22.0,30.0,25.0
201801240900,41.0,17.0,22.0,45.0
201801241200,23.0,12.0,21.0,47.0
201801241500,12.0,8.0,26.0,27.0
201801241800,58.0,11.0,44.0,17.0
201801242100,59.0,15.0,39.0,25.0
201801250000,68.0,17.0,13.0,23.0
201801250300,83.0,19.0,25.0,16.0
201801250600,45.0,27.0,79.0,32.0
201801250900,34.0,11.0,39.0,17.0
201801251200,56.0,13.0,45.0,18.0
201801251500,62.0,14.0,75.0,16.0
201801251800,59.0,18.0,170.0,45.0
201801252100,39.0,23.0,120.0,53.0
201801260000,62.0,18.0,71.0,51.0
201801260300,35.0,17.0,60.0,40.0
201801260600,62.0,20.0,154.0,40.0
201801260900,37.0,17.0,45.0,35.0
201801261200,42.0,12.0,51.0,24.0
201801261500,58.0,10.0,98.0,16.0
201801261800,59.0,20.0,91.0,22.0
201801262100,67.0,36.0,29.0,26.0
201801270000,72.0,28.0,36.0,38.0
201801270300,103.0,23.0,14.0,23.0
201801270600,89.0,17.0,137.0,22.0
201801270900,50.5,22.0,81.0,59.0
201801271200,12.0,23.0,66.0,78.0
201801271500,12.0,34.0,66.0,65.0
201801271800,14.0,48.0,91.0,50.0
201801272100,8.5,70.0,71.0,60.0
201801280000,3.0,74.0,10.0,50.0
201801280300,25.0,12.0,5.0,63.0
201801280600,14.0,12.0,17.0,41.0
201801280900,1.0,18.0,30.0,47.0
201801281200,14.0,37.0,117.0,83.0
201801281500,44.0,40.0,28.0,56.0
201801281800,36.0,61.0,49.0,52.0
201801282100,26.0,84.0,51.0,35.0
201801290000,38.0,43.0,25.0,39.0
201801290300,42.0,29.0,13.0,101.0
201801290600,46.0,24.0,52.0,217.0
201801290900,27.0,22.0,52.0,117.0
201801291200,29.0,38.0,46.0,141.0
201801291500,44.0,34.0,17.0,79.0
201801291800,25.0,37.0,50.0,51.0
201801292100,49.0,44.0,22.0,74.0
201801300000,29.0,38.0,10.0,33.0
201801300300,13.0,35.0,24.0,77.0
201801300600,87.0,34.0,72.0,40.0
201801300900,57.0,36.0,10.0,34.0
201801301200,40.0,46.0,17.0,49.0
