TM,PM10_yanan,PM10_tongliao,PM10_qingdao,PM10_chifeng,PM10_dalian
201802161200,99.0,119.0,16.0,53.0,166.0
201802161500,45.0,118.0,14.0,35.0,65.0
201802161800,34.0,58.0,15.0,23.0,53.0
201802162100,52.0,8.0,17.0,20.0,52.0
201802170000,0.0,21.0,25.0,40.0,52.0
201802170300,67.0,2.0,15.0,39.0,44.0
201802170600,101.0,37.0,11.0,127.0,49.0
201802170900,117.0,8.0,12.0,41.0,46.0
201802171200,106.0,3.0,12.0,54.0,50.0
201802171500,122.0,20.0,12.0,59.0,37.0
201802171800,54.0,77.0,12.0,67.0,42.0
201802172100,87.0,28.0,14.0,71.0,18.0
201802180000,111.0,47.0,16.0,62.0,26.0
201802180300,45.0,6.0,13.0,68.0,39.0
201802180600,47.0,25.0,14.0,59.0,41.0
201802180900,45.0,7.0,17.0,42.0,36.0
201802181200,52.0,6.0,40.0,26.0,30.0
201802181500,4.0,21.0,19.0,13.0,19.0
201802181800,77.0,43.0,18.0,84.0,123.0
201802182100,51.0,33.0,22.0,19.0,53.0
201802190000,36.0,14.0,24.0,32.0,77.0
201802190300,0.0,24.0,23.0,22.0,55.0
201802190600,64.0,63.0,23.0,28.0,67.0
201802190900,0.0,8.0,51.0,25.0,38.0
201802191200,26.0,23.0,100.0,18.0,46.0
201802191500,0.0,1.0,67.0,25.0,66.0
201802191800,0.0,41.0,69.0,123.0,66.0
201802192100,29.0,25.0,57.0,14.0,92.0
201802200000,41.0,15.0,51.0,51.0,65.0
201802200300,0.0,5.0,36.0,37.0,79.0
201802200600,0.0,104.0,33.0,55.0,120.0
201802200900,14.0,14.0,35.0,39.0,111.0
201802201200,56.0,22.0,40.0,37.0,55.0
201802201500,22.0,21.0,33.0,27.0,14.0
201802201800,13.0,46.0,31.0,27.0,21.0
201802202100,31.0,31.0,29.0,18.0,30.0
201802210000,0.0,9.0,33.0,15.0,52.0
201802210300,37.0,16.0,37.0,24.0,51.0
201802210600,2.0,49.0,54.0,44.0,59.0
201802210900,33.0,27.0,61.0,52.0,43.0
201802211200,39.0,11.0,68.0,30.0,34.0
201802211500,42.0,23.0,82.0,13.0,66.0
201802211800,30.0,74.0,113.0,39.0,31.0
201802212100,50.0,55.0,95.0,25.0,84.0
201802220000,126.0,55.0,99.0,20.0,53.0
201802220300,22.0,97.0,89.0,28.0,63.0
201802220600,64.0,99.0,75.0,21.0,87.0
201802220900,84.0,27.0,76.0,12.0,111.0
201802221200,74.0,20.0,67.0,23.0,117.0
201802221500,123.0,25.0,67.0,23.0,131.0
201802221800,65.0,124.0,64.0,28.0,59.0
201802222100,66.0,7.0,56.0,37.0,162.0
201802230000,38.0,20.0,58.0,18.0,132.0
201802230300,60.0,41.0,60.0,49.0,140.0
201802230600,123.0,56.0,102.0,62.0,120.0
201802230900,94.0,33.0,78.0,77.0,126.0
201802231200,47.0,0.0,56.0,44.0,76.0
201802231500,44.0,21.0,35.0,42.0,105.0
201802231800,70.0,40.0,24.0,45.0,91.0
201802232100,95.0,16.0,25.0,23.0,206.0
201802240000,41.0,33.0,26.0,15.0,59.0
201802240300,95.0,63.0,38.0,51.0,2.0
201802240600,95.0,66.0,45.0,29.0,15.0
201802240900,89.0,17.0,36.0,40.0,28.0
201802241200,80.0,286.0,48.0,35.0,18.0
201802241500,71.0,30.0,37.0,38.0,22.0
201802241800,80.0,46.0,40.0,71.0,0.0
