TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10
202101080200,54662.0,1.0,9.0,4.0,56.0,360.0,4.0,-13.9,-17.4,74.8,1029.0,4.0,0.0,2.0,cma,21.0
202101080300,54662.0,1.0,9.0,4.0,69.0,30.0,2.0,-12.1,-17.9,62.0,1028.2,7.0,0.7,2.0,cma,50.0
202101080400,54662.0,1.0,9.0,4.0,69.0,30.0,2.0,-12.1,-17.9,62.0,1028.2,7.0,0.7,2.0,cma,50.0
202101080500,54662.0,1.0,9.0,4.0,69.0,30.0,2.0,-12.1,-17.9,62.0,1028.2,7.0,0.7,2.0,cma,50.0
202101080600,54662.0,1.0,9.0,4.0,80.0,340.0,2.0,-10.0,-16.1,61.0,1026.1,7.0,2.1,2.0,cma,28.0
202101080700,54662.0,1.0,9.0,4.0,80.0,340.0,2.0,-10.0,-16.1,61.0,1026.1,7.0,2.1,2.0,cma,28.0
202101080800,54662.0,1.0,9.0,4.0,80.0,340.0,2.0,-10.0,-16.1,61.0,1026.1,7.0,2.1,2.0,cma,28.0
202101080900,54662.0,1.0,9.0,4.0,80.0,340.0,3.0,-10.8,-18.7,52.2,1027.1,2.0,1.0,2.0,cma,99.0
202101081000,54662.0,1.0,9.0,4.0,80.0,340.0,3.0,-10.8,-18.7,52.2,1027.1,2.0,1.0,2.0,cma,99.0
202101081100,54662.0,1.0,9.0,4.0,80.0,340.0,3.0,-10.8,-18.7,52.2,1027.1,2.0,1.0,2.0,cma,99.0
202101081200,54662.0,1.0,9.0,4.0,80.0,220.0,1.0,-11.0,-17.2,60.2,1027.3,2.0,0.2,2.0,cma,64.0
202101081300,54662.0,1.0,9.0,4.0,80.0,220.0,1.0,-11.0,-17.2,60.2,1027.3,2.0,0.2,2.0,cma,64.0
202101081400,54662.0,1.0,9.0,4.0,80.0,220.0,1.0,-11.0,-17.2,60.2,1027.3,2.0,0.2,2.0,cma,64.0
202101081500,54662.0,1.0,9.0,4.0,80.0,180.0,1.0,-10.4,-16.1,62.9,1025.9,7.0,1.3,2.0,cma,60.0
202101081600,54662.0,1.0,9.0,4.0,80.0,180.0,1.0,-10.4,-16.1,62.9,1025.9,7.0,1.3,2.0,cma,60.0
