TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801110300,53845.0,1.0,3.0,2.0,60.0,70.0,1.0,-7.2,-14.3,56.8,1042.4,2.0,1.6,0.0,cma,43.0,109.5,36.6
201801110600,53845.0,1.0,3.0,2.0,78.0,200.0,1.0,-1.1,-13.6,38.0,1038.8,7.0,2.4,0.0,cma,23.0,109.5,36.6
201801110900,53845.0,1.0,3.0,2.0,78.0,90.0,1.0,-1.6,-14.4,37.0,1038.9,7.0,0.3,0.0,cma,27.0,109.5,36.6
201801111200,53845.0,1.0,3.0,2.0,62.0,70.0,1.0,-6.3,-12.6,60.9,1041.4,2.0,0.4,0.0,cma,110.0,109.5,36.6
201801111500,53845.0,1.0,3.0,2.0,60.0,70.0,1.0,-10.6,-13.7,77.9,1040.2,7.0,0.2,0.0,cma,31.0,109.5,36.6
201801111800,53845.0,1.0,3.0,2.0,63.0,250.0,1.0,-13.0,-15.0,84.9,1038.2,7.0,0.8,0.0,cma,30.0,109.5,36.6
201801112100,53845.0,1.0,3.0,2.0,67.0,40.0,1.0,-15.2,-17.3,83.9,1038.0,7.0,0.8,0.0,cma,66.0,109.5,36.6
201801120000,53845.0,1.0,3.0,2.0,62.0,340.0,1.0,-16.2,-18.1,85.2,1039.7,4.0,0.0,0.0,cma,61.0,109.5,36.6
201801120300,53845.0,1.0,3.0,2.0,58.0,20.0,1.0,-9.1,-13.9,68.1,1039.0,2.0,0.1,0.0,cma,32.0,109.5,36.6
201801120600,53845.0,1.0,3.0,2.0,63.0,40.0,2.0,-1.3,-12.0,43.9,1033.5,7.0,3.4,0.0,cma,17.0,109.5,36.6
201801120900,53845.0,1.0,3.0,2.0,68.0,40.0,2.0,-0.9,-10.5,48.1,1032.9,7.0,0.9,0.0,cma,19.0,109.5,36.6
201801121200,53845.0,1.0,3.0,2.0,58.0,70.0,1.0,-4.9,-10.1,66.9,1035.1,2.0,0.6,0.0,cma,48.0,109.5,36.6
201801121500,53845.0,1.0,3.0,2.0,60.0,0.0,0.0,-8.1,-11.6,75.9,1033.9,4.0,0.0,0.0,cma,110.0,109.5,36.6
201801121800,53845.0,1.0,3.0,2.0,62.0,20.0,1.0,-11.3,-13.9,81.0,1031.5,7.0,1.0,0.0,cma,58.0,109.5,36.6
201801122100,53845.0,1.0,3.0,2.0,62.0,40.0,1.0,-13.1,-15.1,84.9,1030.6,7.0,1.1,0.0,cma,116.0,109.5,36.6
201801130000,53845.0,1.0,3.0,2.0,60.0,40.0,1.0,-13.8,-15.9,84.1,1031.7,7.0,0.2,0.0,cma,46.0,109.5,36.6
201801130300,53845.0,1.0,3.0,1.0,56.0,20.0,1.0,-6.9,-11.8,68.0,1031.0,2.0,0.3,0.0,cma,27.0,109.5,36.6
201801130600,53845.0,1.0,3.0,2.0,66.0,200.0,4.0,2.0,-9.3,42.9,1025.4,7.0,3.4,0.0,cma,33.0,109.5,36.6
201801130900,53845.0,1.0,3.0,2.0,66.0,200.0,2.0,3.0,-8.7,41.9,1025.1,7.0,0.5,0.0,cma,41.0,109.5,36.6
201801131200,53845.0,1.0,3.0,2.0,66.0,220.0,3.0,-0.3,-9.2,51.0,1028.2,2.0,1.7,0.0,cma,158.0,109.5,36.6
201801131500,53845.0,1.0,3.0,2.0,65.0,180.0,3.0,-2.9,-9.8,58.9,1026.5,7.0,0.4,0.0,cma,54.0,109.5,36.6
201801131800,53845.0,1.0,3.0,2.0,60.0,0.0,0.0,-5.7,-9.8,72.8,1025.6,2.0,0.7,0.0,cma,61.0,109.5,36.6
201801132100,53845.0,1.0,3.0,1.0,56.0,200.0,1.0,-8.4,-10.6,84.1,1026.4,2.0,0.3,0.0,cma,42.0,109.5,36.6
201801140000,53845.0,1.0,3.0,2.0,49.0,180.0,1.0,-10.9,-12.6,87.3,1029.2,2.0,1.0,0.0,cma,36.0,109.5,36.6
201801140300,53845.0,1.0,3.0,1.0,56.0,70.0,1.0,-4.1,-9.9,64.0,1029.5,2.0,1.3,0.0,cma,45.0,109.5,36.6
201801140600,53845.0,1.0,3.0,2.0,63.0,0.0,0.0,1.8,-13.1,32.1,1025.1,7.0,3.1,0.0,cma,47.0,109.5,36.6
201801140900,53845.0,1.0,3.0,2.0,69.0,20.0,3.0,1.4,-12.0,36.1,1024.5,7.0,1.2,0.0,cma,40.0,109.5,36.6
201801141200,53845.0,1.0,3.0,2.0,69.0,90.0,1.0,-1.8,-12.7,43.1,1027.5,2.0,1.2,0.0,cma,139.0,109.5,36.6
201801141500,53845.0,1.0,3.0,2.0,58.0,360.0,1.0,-6.5,-10.7,72.0,1026.9,4.0,0.0,0.0,cma,64.0,109.5,36.6
201801141800,53845.0,1.0,3.0,2.0,57.0,270.0,2.0,-8.7,-11.5,80.1,1024.0,7.0,1.6,0.0,cma,55.0,109.5,36.6
201801142100,53845.0,1.0,3.0,2.0,59.0,0.0,0.0,-10.1,-12.4,83.2,1023.5,7.0,0.9,0.0,cma,60.0,109.5,36.6
201801150000,53845.0,1.0,3.0,2.0,61.0,140.0,1.0,-8.3,-12.1,74.0,1025.5,2.0,1.4,0.0,cma,95.0,109.5,36.6
201801150300,53845.0,1.0,3.0,2.0,60.0,250.0,2.0,-5.8,-10.4,69.9,1027.4,2.0,1.1,0.0,cma,77.0,109.5,36.6
201801150600,53845.0,1.0,3.0,2.0,63.0,140.0,1.0,2.7,-8.9,42.1,1023.4,7.0,1.9,0.0,cma,65.0,109.5,36.6
201801150900,53845.0,1.0,3.0,2.0,65.0,180.0,1.0,3.5,-9.5,37.9,1023.5,7.0,0.1,0.0,cma,61.0,109.5,36.6
201801151200,53845.0,1.0,3.0,2.0,65.0,290.0,3.0,1.1,-10.1,42.9,1027.1,2.0,3.0,0.0,cma,83.0,109.5,36.6
201801151500,53845.0,1.0,3.0,2.0,61.0,340.0,2.0,-0.7,-11.7,43.1,1028.8,2.0,1.6,0.0,cma,76.0,109.5,36.6
201801151800,53845.0,1.0,3.0,2.0,63.0,340.0,3.0,-2.5,-12.8,45.0,1025.9,7.0,0.9,0.0,cma,61.0,109.5,36.6
201801152100,53845.0,1.0,3.0,2.0,60.0,70.0,1.0,-5.6,-10.7,67.2,1024.6,7.0,1.7,0.0,cma,52.0,109.5,36.6
201801160000,53845.0,1.0,3.0,2.0,62.0,0.0,0.0,-8.8,-11.6,80.1,1025.0,7.0,1.0,0.0,cma,59.0,109.5,36.6
201801160300,53845.0,1.0,3.0,2.0,59.0,160.0,2.0,-2.2,-13.7,40.9,1021.7,7.0,1.7,0.0,cma,157.0,109.5,36.6
201801160600,53845.0,1.0,3.0,2.0,68.0,180.0,8.0,2.9,-12.6,30.9,1015.2,7.0,4.8,0.0,cma,165.0,109.5,36.6
201801160900,53845.0,1.0,3.0,2.0,70.0,180.0,3.0,5.0,-11.6,28.9,1013.2,7.0,2.0,0.0,cma,101.0,109.5,36.6
201801161200,53845.0,1.0,3.0,2.0,66.0,200.0,5.0,1.4,-9.8,43.0,1016.6,2.0,1.4,0.0,cma,128.0,109.5,36.6
201801161500,53845.0,1.0,3.0,2.0,64.0,200.0,3.0,0.0,-12.0,40.0,1014.4,7.0,0.7,0.0,cma,103.0,109.5,36.6
201801161800,53845.0,1.0,3.0,2.0,64.0,200.0,3.0,-1.8,-11.6,47.1,1015.5,2.0,1.7,0.0,cma,81.0,109.5,36.6
201801162100,53845.0,1.0,3.0,2.0,67.0,320.0,2.0,-2.6,-11.3,51.2,1018.4,2.0,2.8,0.0,cma,127.0,109.5,36.6
201801170000,53845.0,1.0,3.0,2.0,70.0,340.0,3.0,-3.5,-12.9,48.1,1023.8,2.0,3.6,0.0,cma,54.0,109.5,36.6
201801170300,53845.0,1.0,3.0,2.0,69.0,290.0,4.0,-2.2,-14.9,37.1,1027.5,2.0,3.2,0.0,cma,92.0,109.5,36.6
