TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801141800,54662.0,1.0,3.0,2.0,60.0,360.0,4.0,-0.5,-9.9,49.0,1025.2,2.0,1.9,0.0,cma,98.0,121.63,38.9
201801142100,54662.0,1.0,3.0,2.0,68.0,20.0,4.0,-2.4,-12.7,45.0,1025.7,2.0,0.4,0.0,cma,116.0,121.63,38.9
201801150000,54662.0,1.0,3.0,2.0,70.0,360.0,3.0,-3.1,-13.4,44.8,1028.0,2.0,2.2,0.0,cma,126.0,121.63,38.9
201801150300,54662.0,1.0,3.0,2.0,70.0,20.0,1.0,-0.7,-13.9,36.1,1027.0,7.0,0.9,0.0,cma,120.0,121.63,38.9
201801150600,54662.0,1.0,3.0,2.0,66.0,40.0,1.0,1.3,-12.8,34.1,1024.3,7.0,2.7,0.0,cma,92.0,121.63,38.9
201801150900,54662.0,1.0,3.0,2.0,70.0,200.0,2.0,0.3,-8.4,52.0,1024.2,7.0,0.1,0.0,cma,82.0,121.63,38.9
201801151200,54662.0,1.0,3.0,2.0,80.0,180.0,2.0,0.4,-9.3,48.1,1021.6,7.0,2.6,0.0,cma,61.0,121.63,38.9
201801151500,54662.0,1.0,3.0,2.0,61.0,200.0,3.0,2.4,-2.3,71.1,1021.0,7.0,0.5,0.0,cma,95.0,121.63,38.9
201801151800,54662.0,1.0,3.0,1.0,33.0,200.0,3.0,3.2,0.6,83.0,1019.1,7.0,1.8,0.0,cma,54.0,121.63,38.9
201801152100,54662.0,1.0,3.0,1.0,30.0,220.0,1.0,2.6,-0.8,78.3,1018.4,7.0,0.7,0.0,cma,31.0,121.63,38.9
201801160000,54662.0,1.0,3.0,1.0,38.0,340.0,2.0,2.0,-2.3,73.1,1018.7,2.0,0.2,0.0,cma,96.0,121.63,38.9
201801160300,54662.0,1.0,3.0,2.0,57.0,360.0,4.0,1.6,-3.3,69.9,1019.3,2.0,0.7,0.0,cma,103.0,121.63,38.9
201801160600,54662.0,1.0,3.0,2.0,60.0,340.0,3.0,2.4,-6.0,53.8,1017.0,7.0,2.3,0.0,cma,97.0,121.63,38.9
201801160900,54662.0,1.0,3.0,2.0,63.0,360.0,2.0,1.3,-8.2,49.1,1017.1,2.0,0.1,0.0,cma,129.0,121.63,38.9
201801161200,54662.0,1.0,3.0,2.0,59.0,140.0,1.0,0.3,-4.5,70.1,1017.6,2.0,0.4,0.0,cma,65.0,121.63,38.9
201801161500,54662.0,1.0,3.0,1.0,55.0,140.0,1.0,-0.3,-2.2,87.0,1017.5,7.0,0.1,0.0,cma,103.0,121.63,38.9
201801161800,54662.0,1.0,3.0,1.0,55.0,0.0,0.0,-1.3,-3.2,86.9,1017.1,7.0,0.4,0.0,cma,119.0,121.63,38.9
201801162100,54662.0,1.0,3.0,1.0,42.0,140.0,1.0,-0.6,-2.2,88.9,1016.2,7.0,0.9,0.0,cma,103.0,121.63,38.9
201801170000,54662.0,1.0,3.0,1.0,35.0,290.0,1.0,-0.9,-2.9,86.3,1018.4,2.0,2.2,0.0,cma,64.0,121.63,38.9
201801170300,54662.0,1.0,3.0,2.0,64.0,250.0,3.0,2.9,-4.3,59.1,1017.8,7.0,0.5,0.0,cma,103.0,121.63,38.9
201801170600,54662.0,1.0,3.0,2.0,72.0,320.0,2.0,3.8,-8.6,39.9,1016.4,7.0,1.4,0.0,cma,77.0,121.63,38.9
201801170900,54662.0,1.0,3.0,2.0,67.0,340.0,3.0,1.8,-5.8,57.0,1018.7,2.0,2.2,0.0,cma,120.0,121.63,38.9
201801171200,54662.0,1.0,3.0,2.0,61.0,320.0,1.0,1.0,-3.7,70.8,1020.7,2.0,2.0,0.0,cma,86.0,121.63,38.9
201801171500,54662.0,1.0,3.0,1.0,55.0,340.0,1.0,-0.3,-3.8,77.2,1022.3,2.0,1.6,0.0,cma,91.0,121.63,38.9
201801171800,54662.0,1.0,3.0,1.0,39.0,20.0,2.0,-1.2,-3.9,81.8,1023.8,2.0,1.5,0.0,cma,99.0,121.63,38.9
