TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801121200,54135.0,1.0,3.0,2.0,60.0,70.0,1.0,-10.1,-18.5,50.2,1027.4,2.0,1.5,0.0,cma,56.0,122.37,43.6
201801121500,54135.0,1.0,3.0,2.0,58.0,90.0,2.0,-13.3,-20.0,57.1,1027.9,2.0,0.7,0.0,cma,9.0,122.37,43.6
201801121800,54135.0,1.0,3.0,1.0,42.0,70.0,1.0,-16.0,-20.2,70.0,1028.6,2.0,0.8,0.0,cma,105.0,122.37,43.6
201801122100,54135.0,1.0,3.0,1.0,55.0,90.0,2.0,-16.3,-19.1,78.9,1029.6,2.0,0.9,0.0,cma,78.0,122.37,43.6
201801130000,54135.0,1.0,3.0,2.0,38.0,90.0,2.0,-16.0,-18.4,81.7,1030.4,2.0,0.6,0.0,cma,100.0,122.37,43.6
201801130300,54135.0,1.0,3.0,1.0,56.0,140.0,2.0,-9.1,-14.8,63.2,1030.0,7.0,0.2,0.0,cma,126.0,122.37,43.6
201801130600,54135.0,1.0,3.0,2.0,64.0,140.0,3.0,-3.2,-13.7,44.1,1026.3,7.0,3.5,0.0,cma,98.0,122.37,43.6
201801130900,54135.0,1.0,3.0,2.0,60.0,140.0,2.0,-5.7,-14.7,49.0,1024.2,7.0,2.2,0.0,cma,151.0,122.37,43.6
201801131200,54135.0,1.0,3.0,1.0,56.0,180.0,3.0,-7.7,-11.4,74.7,1022.4,7.0,1.8,0.0,cma,94.0,122.37,43.6
201801131500,54135.0,1.0,3.0,1.0,40.0,160.0,3.0,-6.0,-8.1,85.1,1020.0,7.0,2.0,0.0,cma,45.0,122.37,43.6
201801131800,54135.0,1.0,3.0,1.0,38.0,180.0,2.0,-4.6,-6.3,87.9,1017.7,7.0,1.9,0.0,cma,40.0,122.37,43.6
201801132100,54135.0,1.0,3.0,1.0,56.0,180.0,4.0,-3.9,-6.2,84.0,1015.7,7.0,2.0,0.0,cma,127.0,122.37,43.6
201801140000,54135.0,1.0,3.0,1.0,46.0,180.0,2.0,-3.0,-5.2,84.8,1015.1,7.0,0.7,0.0,cma,133.0,122.37,43.6
201801140300,54135.0,1.0,3.0,2.0,58.0,250.0,5.0,0.6,-6.9,57.1,1014.5,7.0,0.3,0.0,cma,65.0,122.37,43.6
201801140600,54135.0,1.0,3.0,2.0,67.0,270.0,4.0,1.6,-12.9,33.1,1014.2,7.0,0.2,0.0,cma,55.0,122.37,43.6
201801140900,54135.0,1.0,3.0,2.0,73.0,270.0,3.0,-2.0,-14.7,37.1,1017.6,2.0,3.2,0.0,cma,73.0,122.37,43.6
201801141200,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-6.1,-15.3,48.1,1021.7,2.0,3.8,0.0,cma,94.0,122.37,43.6
201801141500,54135.0,1.0,3.0,2.0,80.0,290.0,3.0,-8.9,-17.7,48.9,1024.1,2.0,2.4,0.0,cma,129.0,122.37,43.6
201801141800,54135.0,1.0,3.0,2.0,80.0,270.0,3.0,-10.5,-19.6,47.2,1025.5,2.0,1.4,0.0,cma,102.0,122.37,43.6
201801142100,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-12.0,-19.9,51.8,1026.3,2.0,0.5,0.0,cma,11.0,122.37,43.6
201801150000,54135.0,1.0,3.0,2.0,72.0,270.0,3.0,-13.9,-20.4,57.9,1028.2,2.0,1.6,0.0,cma,0.0,122.37,43.6
201801150300,54135.0,1.0,3.0,2.0,77.0,290.0,2.0,-6.1,-17.8,39.0,1026.7,7.0,1.2,0.0,cma,14.0,122.37,43.6
201801150600,54135.0,1.0,3.0,2.0,80.0,180.0,2.0,-4.2,-19.2,30.0,1023.9,7.0,2.8,0.0,cma,2.0,122.37,43.6
201801150900,54135.0,1.0,3.0,2.0,75.0,110.0,2.0,-4.9,-17.4,36.9,1021.1,7.0,2.8,0.0,cma,36.0,122.37,43.6
201801151500,54135.0,1.0,3.0,2.0,74.0,140.0,1.0,,-17.1,51.8,1016.8,7.0,2.9,0.0,cma,0.0,122.37,43.6
201801151800,54135.0,1.0,3.0,2.0,73.0,220.0,1.0,-9.3,-16.9,54.0,1014.9,7.0,1.8,0.0,cma,0.0,122.37,43.6
201801152100,54135.0,1.0,3.0,2.0,75.0,270.0,2.0,-9.7,-17.0,55.2,1016.4,2.0,1.4,0.0,cma,0.0,122.37,43.6
201801160000,54135.0,1.0,3.0,2.0,61.0,290.0,2.0,-11.8,-16.3,69.2,1019.8,2.0,3.2,0.0,cma,0.0,122.37,43.6
201801160300,54135.0,1.0,3.0,2.0,65.0,320.0,2.0,-7.7,-12.8,66.8,1021.8,2.0,2.0,0.0,cma,0.0,122.37,43.6
201801160600,54135.0,1.0,3.0,2.0,69.0,270.0,2.0,-4.9,-12.8,53.9,1020.1,7.0,1.5,0.0,cma,7.0,122.37,43.6
201801160900,54135.0,1.0,3.0,2.0,60.0,90.0,2.0,-7.1,-13.8,58.8,1019.0,7.0,1.2,0.0,cma,85.0,122.37,43.6
201801161200,54135.0,1.0,3.0,2.0,63.0,110.0,2.0,-10.1,-14.4,70.7,1017.6,7.0,1.6,0.0,cma,45.0,122.37,43.6
