TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,IX,PM10
202207101800,146.0,23.0,2.0,996.5,1003.2,32.4,23.0,58.0,28.1,-,8.0,2.0,ScCi,2000.0,35.4,3.0,2.0,32.0
202207101900,146.0,23.0,1.7,996.9,1003.6,31.8,22.7,59.0,27.6,-,9.0,2.0,-,2000.0,32.7,3.0,2.0,29.0
202207102000,146.0,23.0,3.9,997.8,1004.6,26.7,24.5,88.0,30.7,04,9.0,9.0,CuSc,106.0,28.6,4.0,1.0,86.0
202207102100,146.0,25.0,1.5,998.5,1005.3,26.5,24.3,88.0,30.4,04,9.0,9.0,Sc,1089.0,28.4,1.0,1.0,81.0
202207102200,146.0,23.0,2.0,999.1,1005.9,26.4,22.2,78.0,26.8,04,9.0,9.0,Sc,1782.0,27.2,4.0,1.0,0.0
202207102300,146.0,0.0,0.2,998.6,1005.4,26.2,22.4,80.0,27.1,-,10.0,5.0,-,1603.0,27.1,3.0,2.0,24.0
202207110000,146.0,14.0,0.5,998.7,1005.5,25.8,23.4,87.0,28.8,01,10.0,7.0,ScAs,751.0,27.0,4.0,1.0,56.0
202207110100,146.0,0.0,0.1,998.7,1005.6,25.2,23.9,93.0,29.7,01,10.0,7.0,ScAs,656.0,26.9,4.0,1.0,48.0
202207110200,146.0,0.0,0.2,998.3,1005.2,25.0,23.6,92.0,29.1,01,10.0,7.0,ScAs,796.0,26.6,4.0,1.0,84.0
202207110300,146.0,9.0,0.8,997.7,1004.5,24.7,23.1,91.0,28.3,-,9.0,0.0,Ci,1364.0,26.0,3.0,2.0,18.0
202207110400,146.0,14.0,0.9,997.8,1004.7,24.9,22.9,89.0,27.9,-,9.0,9.0,Sc,1349.0,25.7,3.0,2.0,62.0
202207110500,146.0,0.0,0.4,998.2,1005.1,25.0,23.0,89.0,28.1,-,9.0,9.0,Sc,1366.0,26.1,3.0,2.0,28.0
202207110600,146.0,0.0,0.3,998.6,1005.4,24.3,23.4,95.0,28.8,1901,10.0,7.0,ScAs,219.0,25.9,4.0,1.0,24.0
202207110700,146.0,0.0,0.1,998.6,1005.4,24.3,23.7,97.0,29.3,1901,10.0,7.0,StNs,215.0,26.2,4.0,1.0,82.0
202207110800,146.0,9.0,1.2,998.5,1005.3,24.2,23.3,95.0,28.6,1901,10.0,5.0,StNs,546.0,26.9,4.0,1.0,52.0
202207110900,146.0,0.0,0.1,998.7,1005.6,25.0,23.9,94.0,29.7,1901,10.0,5.0,StNs,862.0,28.1,1.0,1.0,1.0
202207111000,146.0,0.0,0.2,998.9,1005.8,25.5,23.9,91.0,29.7,1901,10.0,4.0,StNs,1351.0,29.3,4.0,1.0,0.0
202207111100,146.0,11.0,1.7,998.8,1005.7,25.2,22.6,86.0,27.4,01,10.0,5.0,ScAs,2000.0,30.7,3.0,1.0,0.0
202207111200,146.0,11.0,1.3,998.5,1005.3,27.8,23.8,79.0,29.5,-,10.0,5.0,ScAs,2000.0,35.0,3.0,2.0,0.0
202207111300,146.0,7.0,1.5,998.4,1005.1,28.9,23.5,73.0,28.9,-,7.0,7.0,CuSc,2000.0,40.7,3.0,2.0,162.0
202207111400,146.0,5.0,0.6,997.8,1004.5,30.3,22.9,65.0,27.9,-,7.0,7.0,CuSc,2000.0,39.1,3.0,2.0,15.0
202207111500,146.0,32.0,2.0,997.9,1004.7,28.1,23.4,76.0,28.8,-,9.0,9.0,CuSc,2000.0,32.4,3.0,2.0,96.0
202207111600,146.0,32.0,1.7,997.9,1004.6,29.8,24.1,72.0,30.0,-,8.0,8.0,Sc,2000.0,36.4,3.0,2.0,86.0
202207111700,146.0,32.0,1.7,998.3,1005.1,27.6,23.8,80.0,29.5,01,10.0,6.0,StNs,1592.0,30.5,4.0,1.0,17.0
202207111800,146.0,32.0,2.5,998.5,1005.3,27.5,24.3,83.0,30.4,01,7.0,7.0,Sc,1953.0,30.8,4.0,1.0,50.0
202207111900,146.0,34.0,1.7,998.8,1005.6,27.0,24.2,85.0,30.2,-,6.0,3.0,-,1675.0,29.4,3.0,,22.0
202207112000,146.0,29.0,1.0,999.3,1006.1,26.4,24.2,88.0,30.2,-,2.0,0.0,-,1508.0,27.5,3.0,,26.0
202207112100,146.0,32.0,0.6,999.9,1006.7,26.3,23.9,87.0,29.7,-,3.0,0.0,Ci,1988.0,26.8,3.0,2.0,32.0
202207112200,146.0,36.0,1.1,1000.7,1007.6,25.8,24.2,91.0,30.2,-,5.0,5.0,-,1353.0,26.9,3.0,,40.0
202207112300,146.0,0.0,0.0,1000.7,1007.5,26.3,24.3,89.0,30.4,-,3.0,3.0,-,1421.0,27.1,3.0,,32.0
202207120000,146.0,0.0,0.0,1000.8,1007.6,26.4,24.2,88.0,30.2,-,8.0,8.0,Sc,1484.0,27.0,3.0,2.0,26.0
202207120100,146.0,0.0,0.3,1000.3,1007.1,26.0,24.0,89.0,29.8,-,5.0,5.0,-,1388.0,26.7,3.0,,34.0
202207120200,146.0,0.0,0.4,1000.6,1007.5,25.8,24.2,91.0,30.2,19,7.0,6.0,-,664.0,26.6,3.0,2.0,33.0
202207120300,146.0,0.0,0.0,1000.2,1007.1,25.7,24.2,92.0,30.2,19,9.0,9.0,Sc,565.0,26.5,3.0,1.0,51.0
