TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,PM10
201810050500,156.0,5.0,3.2,1009.4,1018.0,15.9,15.7,99.0,17.8,1901,10.0,7.0,StNs,825.0,16.8,4.0,10.0
201810050600,156.0,5.0,2.8,1009.0,1017.6,16.0,15.8,99.0,17.9,1901,10.0,8.0,StNs,1272.0,16.7,4.0,5.0
201810050700,156.0,5.0,3.3,1008.6,1017.2,16.1,15.9,99.0,18.1,01,10.0,1.0,StNs,1138.0,16.5,4.0,2.0
201810050800,156.0,2.0,1.4,1008.9,1017.5,16.4,16.2,99.0,18.4,01,10.0,7.0,StNs,748.0,17.0,4.0,6.0
201810050900,156.0,2.0,1.0,1008.7,1017.2,16.8,16.6,99.0,18.9,01,10.0,7.0,StNs,751.0,17.5,1.0,0.0
201810051000,156.0,5.0,4.5,1008.2,1016.7,17.2,17.0,99.0,19.4,01,10.0,6.0,StNs,865.0,18.2,4.0,5.0
201810051100,156.0,5.0,4.5,1007.7,1016.2,17.7,17.5,99.0,20.0,01,10.0,6.0,StNs,965.0,18.8,4.0,1.0
201810051200,156.0,5.0,4.7,1006.6,1015.1,17.8,17.6,99.0,20.1,01,10.0,7.0,StNs,1015.0,18.6,4.0,5.0
201810051300,156.0,5.0,4.8,1006.3,1014.8,17.9,17.7,99.0,20.2,01,10.0,8.0,StNs,90.0,18.1,4.0,3.0
201810051400,156.0,5.0,4.6,1005.5,1013.9,18.6,18.4,99.0,21.2,01,10.0,6.0,StNs,1681.0,19.3,4.0,9.0
201810051500,156.0,5.0,5.6,1004.6,1013.0,18.9,18.7,99.0,21.6,01,10.0,6.0,StNs,1415.0,19.5,4.0,0.0
201810051600,156.0,5.0,5.3,1003.6,1012.0,18.9,18.7,99.0,21.6,01,10.0,5.0,StNs,1833.0,19.2,4.0,4.0
201810051700,156.0,5.0,3.7,1002.7,1011.1,19.0,18.8,99.0,21.7,01,10.0,4.0,StNs,692.0,18.8,4.0,0.0
201810051800,156.0,5.0,4.2,1002.1,1010.5,19.3,19.1,99.0,22.1,01,10.0,6.0,StNs,1691.0,18.6,4.0,8.0
