TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202001030800,156,25,0.7,-9,-9.0,-9,1019.2,1028.4,-9,-9.0,0.4,-0.7,92.0,5.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,2,2,11,Sc,0,0,5,365,0.0,0.07,-9,-1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001030900,156,7,0.8,-9,-9.0,-9,1019.5,1028.7,2,0.6,1.3,-0.6,87.0,5.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,4,4,11,Sc,0,0,5,370,0.0,0.26,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031000,156,5,0.6,-9,-9.0,-9,1019.6,1028.7,-9,-9.0,3.6,-0.2,76.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,11,19,2,2,11,Sc,0,0,5,442,1.0,0.89,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031100,156,0,0.2,-9,-9.0,-9,1019.6,1028.6,-9,-9.0,5.5,-0.3,66.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,4019,4,4,11,Sc,0,0,5,540,1.0,1.2,-9,5.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031200,156,2,1.8,-9,-9.0,-9,1018.6,1027.6,7,-1.1,6.8,-1.3,56.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,4,4,11,Sc,0,0,5,825,0.9,1.51,-9,10.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031300,156,34,1.5,-9,-9.0,-9,1017.9,1026.8,-9,-9.0,7.9,-1.6,51.0,5.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,3,3,11,Sc,0,0,5,1042,1.0,1.97,-9,12.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001031400,156,32,1.5,-9,-9.0,-9,1016.7,1025.6,-9,-9.0,8.0,-1.5,51.0,5.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,3,3,11,Sc,0,0,5,921,1.0,1.84,-9,12.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031500,156,2,1.8,-9,-9.0,-9,1016.4,1025.3,7,-2.3,8.3,-1.8,49.0,5.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,0,0,-9,-,-9,-9,-9,940,1.0,1.52,-9,11.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031600,156,2,1.4,-9,-9.0,-9,1016.8,1025.7,-9,-9.0,8.1,-2.5,47.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,0,0,-9,-,-9,-9,-9,969,1.0,1.02,-9,8.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031700,156,2,1.0,-9,-9.0,-9,1017.2,1026.2,-9,-9.0,7.0,-1.9,53.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,0,0,-9,-,-9,-9,-9,778,0.9,0.47,-9,4.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031800,156,2,1.1,-9,-9.0,-9,1017.8,1026.8,2,1.5,6.0,-1.1,60.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,0,0,-9,-,-9,-9,-9,714,0.0,0.08,-9,2.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001031900,156,36,0.8,-9,-9.0,-9,1018.1,1027.2,-9,-9.0,5.0,-2.3,59.0,5.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,762,-9.0,-9.0,-9,1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202001032000,156,2,1.1,-9,-9.0,-9,1018.3,1027.4,-9,-9.0,3.8,-1.9,66.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,6,0,-9,-,-9,-9,-9,650,-9.0,-9.0,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001032100,156,5,1.8,-9,-9.0,-9,1018.0,1027.1,0,0.3,2.8,-1.7,72.0,5.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,574,-9.0,-9.0,-9,-0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202001032200,156,7,0.8,-9,-9.0,-9,1018.2,1027.3,-9,-9.0,2.6,-1.2,76.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,533,-9.0,-9.0,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001032300,156,5,1.4,-9,-9.0,-9,1017.9,1027.0,-9,-9.0,1.9,-1.0,81.0,5.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,485,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202001040000,156,2,0.8,-9,-9.0,-9,1017.6,1026.7,8,-0.4,1.8,-1.1,81.0,5.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,4019,0,0,-9,-,-9,-9,-9,468,-9.0,-9.0,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
